EndToEndId;DataHora;Valor;Moeda;Pagador_Nome;Pagador_CPF_CNPJ;Pagador_Banco;Recebedor_Nome;Recebedor_CPF_CNPJ;Recebedor_Banco;ChavePix_Utilizada;TipoChave;Descricao;Status;Anomalia
f094cb2c-2a73-463c-b60e-0c57262051e4;2025-06-26 21:07:56;4658.86;BRL;Nathan Cardoso;13.253.967/0001-95;BTG Pactual;Ana Beatriz Ramos;901.361.580-95;Nubank;+559694830-9884;Telefone;Pagamento referente ao serviço 927;Concluída;0
f0409769-741f-49bd-811a-3842cc8f54db;2025-06-23 17:47:56;3184.72;BRL;Benjamin Barros;781.515.544-64;Banco do Brasil;Carlos Eduardo Nunes;288.758.607-72;Itaú Unibanco;+552298530-1917;Telefone;Pagamento referente ao serviço 950;Pendente;0
c1d22287-d343-4c91-b03d-dbe9a69695b3;2025-06-27 15:58:56;1054.48;BRL;Lorena Cunha;444.922.709-96;Banco Inter;Lívia Silveira;530.827.935-48;Bradesco;c4f4c3c6-4d78-4946-b33e-4a1135711a8a;Chave Aleatória;Pagamento referente ao serviço 173;Pendente;0
254423a9-50b7-41b1-a099-e8cf6232bab4;2025-07-15 13:59:56;3564.76;BRL;Sra. Luana Pinto;468.153.904-62;Banco Safra;Helena Pires;827.707.674-51;Caixa Econômica Federal;user421@email.com;E-mail;Pagamento referente ao serviço 560;Estornada;0
f1c5e3e7-bc62-4f18-91e3-c8f92aebdd59;2025-06-23 06:19:56;15.16;BRL;João Miguel da Cunha;83.407.726/0001-68;Santander Brasil;Dr. Luiz Felipe Dias;65.245.322/0001-12;C6 Bank;user97@email.com;E-mail;Pagamento referente ao serviço 140;Pendente;0
6890f060-d5ac-4e86-bd87-f33a7c797cdc;2025-06-25 14:25:56;4671.94;BRL;Nina Pires;77.968.280/0001-46;Banco do Brasil;Rafael Moreira;168.605.604-72;Nubank;+558593536-7141;Telefone;Pagamento referente ao serviço 442;Pendente;0
0afd5244-e659-49d6-914a-33cb867dbe63;2025-08-18 08:03:56;1506.91;BRL;Henrique Silveira;51.959.123/0001-97;Banco Pan;Sra. Stephany Lima;71.230.411/0001-98;Caixa Econômica Federal;0ceb91b5-a4f6-405c-9b67-83f0a8f70c56;Chave Aleatória;Pagamento referente ao serviço 635;Concluída;0
3cf83869-5732-4037-b1aa-8bc63b592a22;2025-08-07 06:59:56;1405.75;BRL;Davi Lucca da Rocha;306.798.119-72;Bradesco;Laura Castro;12.672.982/0001-28;C6 Bank;326f9c37-9070-4d15-bc8a-e3418bde8636;Chave Aleatória;Pagamento referente ao serviço 505;Estornada;0
c65f5aea-55de-4120-ae15-c40e9de2222c;2025-07-06 20:56:56;3470.5;BRL;Levi da Rocha;98.846.287/0001-57;Caixa Econômica Federal;Rodrigo Pinto;86.981.579/0001-78;Bradesco;user902@email.com;E-mail;Pagamento referente ao serviço 537;Pendente;0
86302dd5-625d-43fc-8b23-767ff33abde2;2025-08-05 20:49:56;4084.44;BRL;Dr. Pedro Henrique da Paz;87.273.600/0001-45;C6 Bank;Leandro Dias;83.274.899/0001-73;Bradesco;43a12ef3-7c06-4fc4-866c-05abf240f9a3;Chave Aleatória;Pagamento referente ao serviço 378;Pendente;0
